Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
1/2/2009;00:00:00;3.122;0.120;240.900;12.800;0.000;0.000;18.000
1/2/2009;00:01:00;3.428;0.122;239.910;14.800;0.000;0.000;17.000
1/2/2009;00:02:00;5.848;0.106;237.410;24.600;0.000;0.000;18.000
1/2/2009;00:03:00;6.542;0.000;236.680;27.600;0.000;0.000;17.000
1/2/2009;00:04:00;5.646;0.000;238.380;24.400;0.000;0.000;17.000
1/2/2009;00:05:00;3.460;0.000;241.180;14.400;0.000;0.000;18.000
1/2/2009;00:06:00;3.652;0.000;241.490;15.200;0.000;0.000;18.000
1/2/2009;00:07:00;3.296;0.000;242.610;13.600;0.000;0.000;18.000
1/2/2009;00:08:00;3.330;0.000;243.360;13.600;0.000;0.000;18.000
1/2/2009;00:09:00;3.794;0.052;242.660;15.800;0.000;0.000;18.000
1/2/2009;00:10:00;3.530;0.000;241.440;14.800;0.000;0.000;18.000
1/2/2009;00:11:00;3.218;0.000;241.160;13.200;0.000;0.000;18.000
1/2/2009;00:12:00;3.244;0.000;241.080;13.400;0.000;0.000;18.000
1/2/2009;00:13:00;3.268;0.000;241.500;13.400;0.000;0.000;18.000
1/2/2009;00:14:00;3.682;0.078;242.150;15.200;0.000;0.000;18.000
1/2/2009;00:15:00;3.666;0.110;242.250;15.000;0.000;0.000;18.000
1/2/2009;00:16:00;3.684;0.110;242.210;15.200;0.000;0.000;18.000
1/2/2009;00:17:00;3.506;0.112;242.160;14.400;0.000;0.000;18.000
1/2/2009;00:18:00;3.548;0.112;242.210;14.600;0.000;0.000;18.000
1/2/2009;00:19:00;3.570;0.112;242.050;14.600;0.000;0.000;18.000
1/2/2009;00:20:00;3.416;0.116;242.830;14.000;0.000;0.000;18.000
1/2/2009;00:21:00;3.342;0.118;242.870;13.800;0.000;0.000;18.000
1/2/2009;00:22:00;3.316;0.116;242.410;13.600;0.000;0.000;18.000
1/2/2009;00:23:00;3.228;0.114;241.680;13.400;0.000;0.000;18.000
1/2/2009;00:24:00;3.224;0.114;241.320;13.400;0.000;0.000;18.000
1/2/2009;00:25:00;3.266;0.120;242.910;13.400;0.000;0.000;18.000
1/2/2009;00:26:00;3.256;0.120;243.070;13.400;0.000;0.000;18.000
1/2/2009;00:27:00;3.244;0.120;242.950;13.400;0.000;0.000;18.000
1/2/2009;00:28:00;3.196;0.000;243.340;13.000;0.000;0.000;18.000
1/2/2009;00:29:00;3.170;0.000;243.480;13.000;0.000;0.000;18.000
1/2/2009;00:30:00;3.164;0.000;243.420;13.000;0.000;0.000;19.000
1/2/2009;00:31:00;3.108;0.122;243.520;12.800;0.000;0.000;18.000
1/2/2009;00:32:00;3.082;0.122;243.370;12.600;0.000;0.000;18.000
1/2/2009;00:33:00;3.100;0.122;243.060;12.800;0.000;0.000;18.000
1/2/2009;00:34:00;3.106;0.122;243.690;12.600;0.000;0.000;18.000
1/2/2009;00:35:00;3.066;0.120;244.460;12.600;0.000;0.000;19.000
1/2/2009;00:36:00;2.840;0.116;244.540;11.600;0.000;0.000;18.000
1/2/2009;00:37:00;2.812;0.118;243.610;11.400;0.000;0.000;18.000
1/2/2009;00:38:00;2.834;0.116;244.770;11.600;0.000;0.000;18.000
1/2/2009;00:39:00;2.838;0.116;244.370;11.600;0.000;0.000;19.000
1/2/2009;00:40:00;2.862;0.118;244.550;11.600;0.000;0.000;18.000
1/2/2009;00:41:00;2.856;0.116;244.700;11.600;0.000;0.000;18.000
1/2/2009;00:42:00;2.740;0.066;244.750;11.200;0.000;0.000;19.000
1/2/2009;00:43:00;2.732;0.074;245.440;11.000;0.000;0.000;18.000
1/2/2009;00:44:00;2.744;0.080;245.710;11.200;0.000;0.000;19.000
1/2/2009;00:45:00;2.814;0.000;246.330;11.400;0.000;0.000;18.000
1/2/2009;00:46:00;2.834;0.048;245.650;11.400;0.000;1.000;19.000
1/2/2009;00:47:00;2.828;0.048;245.900;11.400;0.000;1.000;18.000
1/2/2009;00:48:00;2.840;0.046;245.190;11.600;0.000;2.000;19.000
1/2/2009;00:49:00;3.024;0.000;244.520;12.400;0.000;1.000;18.000
1/2/2009;00:50:00;3.194;0.000;245.850;13.000;0.000;2.000;19.000
1/2/2009;00:51:00;3.130;0.046;245.990;12.600;0.000;1.000;18.000
1/2/2009;00:52:00;2.872;0.072;246.470;11.600;0.000;2.000;19.000
1/2/2009;00:53:00;2.946;0.192;245.510;12.000;0.000;1.000;18.000
1/2/2009;00:54:00;2.934;0.196;245.870;11.800;0.000;1.000;19.000
1/2/2009;00:55:00;2.916;0.192;245.120;11.800;0.000;2.000;18.000
1/2/2009;00:56:00;3.212;0.188;245.210;13.000;0.000;1.000;19.000
1/2/2009;00:57:00;3.324;0.190;245.460;13.400;0.000;2.000;18.000
1/2/2009;00:58:00;3.296;0.234;245.980;13.400;1.000;1.000;19.000
1/2/2009;00:59:00;3.560;0.232;245.620;14.400;1.000;2.000;18.000
1/2/2009;01:00:00;5.120;0.194;244.060;21.200;29.000;1.000;18.000
1/2/2009;01:01:00;5.714;0.236;242.620;23.600;39.000;1.000;18.000
1/2/2009;01:02:00;5.908;0.274;241.990;24.400;39.000;2.000;18.000
1/2/2009;01:03:00;5.654;0.272;241.910;23.400;39.000;1.000;18.000
1/2/2009;01:04:00;5.516;0.272;241.680;22.800;39.000;1.000;18.000
1/2/2009;01:05:00;5.450;0.270;241.340;22.600;38.000;1.000;18.000
1/2/2009;01:06:00;5.220;0.278;241.940;21.800;35.000;2.000;18.000
1/2/2009;01:07:00;5.428;0.276;242.470;22.400;39.000;1.000;18.000
1/2/2009;01:08:00;5.306;0.280;242.850;21.800;39.000;1.000;18.000
1/2/2009;01:09:00;5.442;0.410;242.640;22.400;39.000;1.000;18.000
1/2/2009;01:10:00;4.846;0.168;243.350;20.200;33.000;0.000;18.000
1/2/2009;01:11:00;2.908;0.328;245.660;11.800;1.000;0.000;19.000
1/2/2009;01:12:00;2.820;0.426;245.110;11.600;1.000;1.000;18.000
1/2/2009;01:13:00;2.866;0.324;245.240;12.000;1.000;2.000;19.000
1/2/2009;01:14:00;6.218;0.144;241.960;26.000;25.000;39.000;18.000
